pais;comentario
United States;PLEASE GO BACK TO CHRONOLOGICAL ORDER ON THE TIMELINE!
Australia;Highly recommend
Singapore;After many times I have tried, there still having the same problem, after multiple photo has been selected the app totally has no response..
Australia;Love the filters, hate the non-chronological feed!!
United Kingdom;You can't even call this an app, it's the biggest load of sh*te ever and a waste of storage on my phone!!!  Why do we need messenger and Facebook, put them back together please!!!  The latest update is pathetic, it's showing me notifications but when I click on them it shows me nothing, sort of out FB ffs, a big company with a SHAMEFUL app!!! Not good enough!!!\nIf I could give zero stars I would!!!
Canada;My news feed shows only stuff from 4 days ago. I see maybe 1 new post to 20 from 4 days ago. Stop messing up a good app
South Africa;You should be able to move your feed around
Australia;Facebook keeps changing things around on it. They should have a few more icon pictures when liking people's posts but overall it's great
Singapore;Wahahahahaha
United States;I love instagram period
Australia;I was banned for 3 months for calling someone a clown
India;Amazing experience..!!
United States;Wrote previously how it was easy to use and begin a new routine. Still true over a month now. I eat out, don't disrupt my family members' lives and continue to stay on track. Now I'm also appreciating recipes and tips. Really is the best tool for leaving denial behind and going forward!
Canada;I have to keep deleting this app since over time it begins to take up more and more space in my phone. It has used 800mb plus, and there is no way it seems to clear this without deleting and reinstalling each time. Very frustrating.
United States;Works great
United Kingdom;I have lost a lot of weight with the encouragement it gives me. When it states I haven't consumed enough would be nice to see more info. Keep up the good work and thank you.
Australia;Go
Hong Kong;Backup D
Australia;Sick of being spammed by ads.. I can't browse without 100's of  ads for apps or products clogging up my feed.. please stop it..\n\nLatest update causing crashing and closing app when I'm exploring then I can't find pins I was looking at.\nAlso doesn't open pages when you try to follow a link ...\n Please fix asap....
India;Superb
Hong Kong;wifi bug can't use
United States;Don't download photos and videos and nothing at all. Change it please!!!!!!
Canada;I think It would be a great idea to add grain to the edit and adjustment section of the app. It will give us a little more variety to as how we would like to edit our photos. Consider it! (:
India;Far better than any other social networking sites �
Australia;No like button. And you can't see the boards of other people who also have the same pin. Prevents you from finding similar boards and pins.   Don't recommend this app.  Used to be a great resource. Not anymore.
Hong Kong;， iPhone  ,
Canada;I love the thousands of pre populated food options and the ability to insert a full meal into the calorie counter for frequently used meals.
United States;I live instagram don't get me wrong but when ever I try to make another account it says there was an error please try again later or something like that. Then right after it says Instagram doesn't allow blah blah\nReport us if we have made a mistake I waited a week. Is that long enough? Well anyways I can't upload videos for some reason. It gets like half way and then just says retry no one is gonna see this but if someone does please take this into consideration ☺️
Canada;The new Instagram update won't allow me to send any video or pictures to group chats!
Australia;Notifications show and then you have to refresh 2-6 times before they may actually show up! \nAnd - why bother even having a Facebook page for your business anymore when it serves no purpose unless you're prepared to pay a lot of money for ads.
Canada;When trying to upload profile pictures that are good quality pictures they show up blurry and out of focus. Then when you press save it says sorry could not upload at this time try again later but then it does upload and is still low quality. Please fix, it's very annoying.
Hong Kong;Siri
Australia;From the updates I can no longer share with Facebook. Which is sad.
United States;I used to LOVE Instagram. The new update killed this app for me. The amount of ads is absolutely insane. It's overload and has killed the fun of the app.
Australia;Today I checked my Instagram and found that I have lost 100 followers I don't know why this has happened but I am very upset I love this app and use it everyday but this is not good if you could please fix this it would mean a lot
Hong Kong;CHANGE IT BACK
Canada;Its amazing i love this app
United Kingdom;Best sat nav you could possibly need by far.
Singapore;idk if it's happening to everyone buy everytime i upload mulitple photos, it keeps getting blurry ?!
Australia;I think instagram should make the text bubbles coloured
South Africa;Great app use it daily, especially in traffic management 👍🏿
Hong Kong;page apps
South Africa;With each update the app has more and more glitches. It constantly crashes and realistically becomes a waste of time. Facebook, your social platform is becoming a joke just like your app. The larger updates don't seem to fix your excuse for an app
Hong Kong;It is very inconvenient that the posts are not allowing the posting time to show. My fds all dislike this and think that this problem is causing them miss out some of the posts.\n\nMoreover, about the adding location problem. It is so headachy that I want to add a location while there don't provide an accurate option for me. Why don't just like before that we can type or create any locations??
United States;Saved me at least 2 tickets and who knows how time saved by showing the fastest route or if traffic is bad.  Love where I can have a reminder set for when to leave and arrive by a set time.
Canada;Every time I refresh my profile, the app crashes! Please fix this, it's very inconvenient.
India;No experience
Australia;Don't like the new update, I have an iPhone and for the life of me can not like photos or memes in the comments UNLESS someone has written something WITH said photo or meme...
Australia;Pretty cool
Hong Kong;
South Africa;I don't know what changed in the App but each time I record a voice note for longer than 50seconds, the App crash! Please fix, I've attempted to record my voice note 4 times now! Gave up and just sent a message...
Canada;A lot of improvements, but I wish they kept the like button.
Singapore;I love everything about it :) . But i hope u come up wif sth better ?
Australia;I think it awesome,but I think needs a translator when you get messages with different languages would be appreciated to see what friends send me or anyone else. So I can reply to them.
Hong Kong;fashion and life style and good apps
United Kingdom;I've used whatsapp for about 5 years now & I love it. \nAnd since they've brought out this new whatsapp story feature I love it even more. But I think it would make it just a lil better & more fun to use  if they could add filters for us users to use after we take pics just like Snapchat. Now that would be amazing!!
Canada;This is what happens when management screws up.
United Kingdom;This is my first Fitbit and can honestly say I love it
Australia;About as good as a communist Christmas
United Kingdom;Brilliant for helping advertise your business
United States;I like the idea...getting better all the time.\n\nI love the interface updates with this version!!\n\nWhy'd they take Foursquare integration away? (Safety?)
Canada;I love my fitbit and they app makes it so much more\nGreat job
United States;Good
United Kingdom;I love sharing photos
Singapore;Currently settings only allow to set both preview for lock screen and notifications bar at the same time. Preview message should be flexible to set to only to preview on notifications bar instead of lock screen as well.
Australia;WHY am I seeing things on my newsfeed from people who I am not friends with, have no mutual friends with, and have never heard of in my life? It's telling me that so-and-so is commenting on/liking their own or someone else's post who I also don't know - I don't want to see this! Facebook is already filled with so much useless *#$@. The majority of my newsfeed is just filled up with people liking things from spammy pages - nobody posts anything anymore. There's probably a good reason for that.\n\nAnd what have you done with the setting to see most recent news instead of top stories?! Sick of seeing things from literally a week ago. Useless app
