,pais,comentario,longitud,entropia
0,United States,PLEASE GO BACK TO CHRONOLOGICAL ORDER ON THE TIMELINE!,54,3.908765567502154
1,Australia,Highly recommend,16,3.75
2,Singapore,"After many times I have tried, there still having the same problem, after multiple photo has been selected the app totally has no response..",140,4.066812763160355
3,Australia,"Love the filters, hate the non-chronological feed!!",51,4.0198630882951445
4,United Kingdom,"You can't even call this an app, it's the biggest load of sh*te ever and a waste of storage on my phone!!!  Why do we need messenger and Facebook, put them back together please!!!  The latest update is pathetic, it's showing me notifications but when I click on them it shows me nothing, sort of out FB ffs, a big company with a SHAMEFUL app!!! Not good enough!!!\nIf I could give zero stars I would!!!",402,4.463797427927138
5,Canada,My news feed shows only stuff from 4 days ago. I see maybe 1 new post to 20 from 4 days ago. Stop messing up a good app,119,4.1142271356426106
6,South Africa,You should be able to move your feed around,43,3.7547693365409995
7,Australia,Facebook keeps changing things around on it. They should have a few more icon pictures when liking people's posts but overall it's great,136,4.268060736781424
8,Singapore,Wahahahahaha,12,1.3250112108241772
9,United States,I love instagram period,23,3.882045108136863
10,Australia,I was banned for 3 months for calling someone a clown,53,3.907099823166635
11,India,Amazing experience..!!,22,3.7321588913645694
12,United States,"Wrote previously how it was easy to use and begin a new routine. Still true over a month now. I eat out, don't disrupt my family members' lives and continue to stay on track. Now I'm also appreciating recipes and tips. Really is the best tool for leaving denial behind and going forward!",287,4.291128730244927
13,Canada,"I have to keep deleting this app since over time it begins to take up more and more space in my phone. It has used 800mb plus, and there is no way it seems to clear this without deleting and reinstalling each time. Very frustrating.",232,4.170203320337647
14,United States,Works great,11,3.2776134368191165
15,United Kingdom,I have lost a lot of weight with the encouragement it gives me. When it states I haven't consumed enough would be nice to see more info. Keep up the good work and thank you.,173,4.1324690186017685
16,Australia,Go,2,1.0
17,Hong Kong,Backup D,8,3.0
18,Australia,Sick of being spammed by ads.. I can't browse without 100's of  ads for apps or products clogging up my feed.. please stop it..\n\nLatest update causing crashing and closing app when I'm exploring then I can't find pins I was looking at.\nAlso doesn't open pages when you try to follow a link ...\n Please fix asap....,318,4.415003004241251
19,India,Superb,6,2.584962500721156
20,Hong Kong,wifi bug can't use,18,3.683542362433231
21,United States,Don't download photos and videos and nothing at all. Change it please!!!!!!,75,3.9621264287904028
22,Canada,I think It would be a great idea to add grain to the edit and adjustment section of the app. It will give us a little more variety to as how we would like to edit our photos. Consider it! (:,190,4.10000406575752
23,India,Far better than any other social networking sites �,51,3.8805806755939645
24,Australia,No like button. And you can't see the boards of other people who also have the same pin. Prevents you from finding similar boards and pins.   Don't recommend this app.  Used to be a great resource. Not anymore.,210,4.230932525602374
25,Hong Kong,"， iPhone  ,",11,3.027169118440619
26,Canada,I love the thousands of pre populated food options and the ability to insert a full meal into the calorie counter for frequently used meals.,140,4.029950690486626
